2026-03-04 14:28:03 | INFO     | news_provider | Total articles fetched: 10
2026-03-04 14:28:03 | INFO     | trading_service | Découverte d'opportunités à partir de 20 articles...
2026-03-04 14:28:06 | INFO     | trading_service | Symboles générés par l'IA : ['GTLB', 'CRWD', 'VCI']
2026-03-04 14:28:06 | INFO     | trading_service | Analyse de 8 symboles au total : ['MSFT', 'VCI', 'GTLB', 'GOOGL', 'AMZN', 'CRWD', 'AAPL', 'TSLA']
2026-03-04 14:28:10 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:10 | WARNING  | trading_service | [VCI] Données historiques introuvables. Symbole ignoré.
2026-03-04 14:28:13 | INFO     | trading_service | [GTLB] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:17 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:19 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:28:20 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:22 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:23 | INFO     | trading_service | [CRWD] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:25 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:28:25 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.7)
2026-03-04 14:28:28 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:29 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:28:31 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:29:21 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:29:25 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:29:28 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.75)
2026-03-04 14:30:25 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:30:29 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:30:33 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:30:36 | INFO     | trading_service | [MSFT] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:30:39 | INFO     | trading_service | [AMZN] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:30:52 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:30:54 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:30:56 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.7)
2026-03-04 14:31:00 | INFO     | trading_service | [MSFT] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:31:03 | INFO     | trading_service | [AMZN] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:06 | INFO     | trading_service | [AAPL] Décision IA : HOLD (Confiance: 0.5)
2026-03-04 14:31:08 | INFO     | news_provider | Fetching news from https://feeds.finance.yahoo.com/rss/2.0/headline
2026-03-04 14:31:08 | INFO     | news_provider | Fetching news from https://www.investing.com/rss/news.rss
2026-03-04 14:31:08 | INFO     | news_provider | Fetching news from https://search.cnbc.com/rs/search/view.xml?partnerId=2000&keywords=stock%20market
2026-03-04 14:31:09 | INFO     | news_provider | Total articles fetched: 10
2026-03-04 14:31:09 | INFO     | trading_service | Découverte d'opportunités à partir de 20 articles...
2026-03-04 14:31:11 | INFO     | trading_service | [GOOGL] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:12 | INFO     | trading_service | Symboles générés par l'IA : ['GTLB', 'CRWD', 'VCI']
2026-03-04 14:31:12 | INFO     | trading_service | Analyse de 8 symboles au total : ['GTLB', 'AAPL', 'GOOGL', 'VCI', 'TSLA', 'MSFT', 'AMZN', 'CRWD']
2026-03-04 14:31:13 | INFO     | trading_service | [TSLA] Décision IA : SELL (Confiance: 0.65)
2026-03-04 14:31:16 | INFO     | trading_service | [MSFT] Décision IA : SELL (Confiance: 0.65)
